Index,T2,Time,T2_WRF,P_WRF,U10_WRF,V10_WRF
161,12.82,2020-09-07 17:00:00,11.168457,1010.60815,3.5516372,-9.775366
162,12.7,2020-09-07 18:00:00,10.899231,1010.29126,2.9344294,-9.199791
163,12.46,2020-09-07 19:00:00,10.966156,1009.5783,1.9770539,-9.769511
164,11.95,2020-09-07 20:00:00,10.743652,1008.7328,1.4978958,-10.371172
165,10.91,2020-09-07 21:00:00,10.356293,1007.8164,1.0608596,-10.058372
166,10.88,2020-09-07 22:00:00,9.966003,1007.1861,1.4861671,-10.934602
167,11.18,2020-09-07 23:00:00,9.772034,1006.4919,1.3468878,-11.161788
168,11.15,2020-09-08 00:00:00,9.7561035,1005.44385,1.5344687,-11.136002
169,10.74,2020-09-08 01:00:00,9.886139,1004.9425,0.6603978,-13.171676
170,10.47,2020-09-08 02:00:00,9.998016,1002.88495,0.78010964,-12.784081
171,10.88,2020-09-08 03:00:00,10.153076,1001.0421,0.51032853,-14.265731
172,9.41,2020-09-08 04:00:00,10.170441,1000.90045,0.78811467,-14.243091
173,8.97,2020-09-08 05:00:00,10.436737,999.1573,-1.0248713,-16.03248
174,8.62,2020-09-08 06:00:00,8.57724,1001.49756,7.6152067,-2.6278472
175,8.24,2020-09-08 07:00:00,8.13205,1001.66016,4.4681344,-6.1002154
176,8.64,2020-09-08 08:00:00,8.044556,1001.7347,3.239508,-6.628511
177,9.24,2020-09-08 09:00:00,8.373138,1001.4236,3.2387238,-8.4612465
178,9.04,2020-09-08 10:00:00,8.857483,1002.69,7.7974925,-3.8852222
179,8.17,2020-09-08 11:00:00,8.138031,1003.4803,6.6213255,-3.1365986
180,7.09,2020-09-08 12:00:00,8.046478,1004.23663,7.230626,-2.0007086
181,9.44,2020-09-08 13:00:00,8.305817,1005.2125,6.366355,-1.1240999
182,9.8,2020-09-08 14:00:00,8.875732,1005.8963,7.473876,-1.0402316
183,10.37,2020-09-08 15:00:00,9.440735,1006.6515,6.741146,-1.3381712
184,10.88,2020-09-08 16:00:00,9.712952,1007.06506,5.812456,-1.978311
185,11.13,2020-09-08 17:00:00,9.861145,1007.56946,5.7502775,-3.3553612
186,8.59,2020-09-08 18:00:00,9.869965,1007.87164,5.236216,-4.69269
187,9.61,2020-09-08 19:00:00,9.88736,1008.4713,5.158231,-5.3962455
188,10.59,2020-09-08 20:00:00,9.5112915,1008.98096,5.711216,-5.831208
189,10.05,2020-09-08 21:00:00,9.313965,1009.58844,3.7612216,-5.486191
190,9.66,2020-09-08 22:00:00,7.5692444,1010.4943,4.1026573,-4.046177
191,9.34,2020-09-08 23:00:00,7.5578003,1010.97687,3.5789468,-5.2230325
192,9.48,2020-09-09 00:00:00,7.90329,1011.4037,5.5100274,-3.3517165
193,9.29,2020-09-09 01:00:00,7.319092,1012.2601,5.3149004,-2.9696524
194,8.97,2020-09-09 02:00:00,7.4554443,1013.3864,4.9142456,-2.6097114
195,9.21,2020-09-09 03:00:00,7.251007,1014.2344,3.4747982,-2.742933
196,7.42,2020-09-09 04:00:00,7.1430664,1014.64545,2.6805987,-3.4615872
197,8.07,2020-09-09 05:00:00,7.1531982,1014.7262,1.2850996,-3.5663247
198,6.51,2020-09-09 06:00:00,6.4824524,1015.2851,-0.37180436,-4.084215
199,6.56,2020-09-09 07:00:00,7.0381775,1015.5513,0.10625139,-4.4382763
200,6.48,2020-09-09 08:00:00,7.267761,1015.9748,0.22285952,-4.786816
201,5.54,2020-09-09 09:00:00,6.960205,1015.8621,0.41047964,-4.8502827
202,5.74,2020-09-09 10:00:00,7.013489,1016414,0.9313969,-5.018947
203,4.79,2020-09-09 11:00:00,7.0701294,1016.8616,0.43700212,-5.6230016
204,5.21,2020-09-09 12:00:00,7.5045166,1017.01404,1.559281,-6.062301
205,9.8,2020-09-09 13:00:00,8.698608,1016.50995,2.780805,-7.0611706
206,11.35,2020-09-09 14:00:00,9.489319,1016.03534,3.643929,-8.259342
207,11.71,2020-09-09 15:00:00,9.846802,1015.49945,3.3979025,-8.276636
208,11.35,2020-09-09 16:00:00,9.946411,1015.43994,3.1857765,-9.26255
209,11.05,2020-09-09 17:00:00,9.893768,1014594,2.8160532,-10.629583
210,11.66,2020-09-09 18:00:00,10.495758,1013.9018,3.0501301,-12.349099
211,11.54,2020-09-09 19:00:00,10.608307,1012.90204,2.3779142,-11.926265
212,11.42,2020-09-09 20:00:00,9.93396,1011.03485,1.6194143,-12.477588
213,11.47,2020-09-09 21:00:00,9.624817,1010.6953,2.632699,-13.119865
214,11.25,2020-09-09 22:00:00,8.765442,1010.1893,3.0460207,-13.698993
215,10.96,2020-09-09 23:00:00,8.709869,1008.3044,-0.22110014,-14.722415
216,8.54,2020-09-10 00:00:00,9.13916,1007.5745,-1.1692501,-15.420693
217,8.49,2020-09-10 01:00:00,8.18927,1003864,-2.7391658,-18.091797
218,10.08,2020-09-10 02:00:00,9.328003,1003.7537,-0.4550487,-17.844702
219,11.2,2020-09-10 03:00:00,10.037811,1003.0103,-0.5313296,-16.576246
220,10.79,2020-09-10 04:00:00,10.534149,1002.71967,2.2567472,-16.022062
221,10.3,2020-09-10 05:00:00,10.538605,1003.4342,4.5372734,-12.361207
222,10.61,2020-09-10 06:00:00,10.443176,1003.23456,5.3547406,-11.055897
223,11.1,2020-09-10 07:00:00,10.4151,1002.8346,5.3391776,-10.825384
224,11.1,2020-09-10 08:00:00,10.30072,1002.0567,6.201833,-11.151585
225,10.25,2020-09-10 09:00:00,10.127533,1002.21313,7.5678024,-10.295571
226,10.64,2020-09-10 10:00:00,9.913818,1002.4771,7.9107747,-9.678829
227,10.81,2020-09-10 11:00:00,9.78183,1003.08484,10.545825,-8.365186
228,9.76,2020-09-10 12:00:00,9.258636,1003.8815,10.696978,-6.0653753
229,10.27,2020-09-10 13:00:00,9.07962,1004.91547,12.61807,-4.6292844
230,8.32,2020-09-10 14:00:00,8.947784,1006.3582,9.861573,-5.230791
231,8.89,2020-09-10 15:00:00,8.991547,1007.4332,10.253189,-2.9075193
232,8.69,2020-09-10 16:00:00,8.983459,1008.8179,11.592473,-0.79621625
233,10.37,2020-09-10 17:00:00,8.303192,1010.1731,12.739647,1.3134925
234,10.17,2020-09-10 18:00:00,9.666199,1011.0165,10.560401,-0.114413224
235,10.15,2020-09-10 19:00:00,9.275238,1012.0719,10.530712,0.19306025
236,10.17,2020-09-10 20:00:00,8.5061035,1013.10187,9.02882,1.8380473
237,9.31,2020-09-10 21:00:00,8.350037,1013.9571,8.69977,1.0740881
238,9.51,2020-09-10 22:00:00,7.9942017,1014.90967,8.017914,0.31156337
239,9.14,2020-09-10 23:00:00,7.7920837,1015.8119,7.0139503,1.283522
240,9.44,2020-09-11 00:00:00,7.302582,1016.6598,6.0100713,0.049037192
241,8.87,2020-09-11 01:00:00,7.316864,1017.32263,7.7169995,-0.185249
242,9.01,2020-09-11 02:00:00,7.573822,1017.3936,7.9792113,-0.7990138
243,9.26,2020-09-11 03:00:00,7.25,1017.4475,7.822519,-1.417422
244,9.44,2020-09-11 04:00:00,6.802124,1017.1462,8.291006,1.2889552
245,7.44,2020-09-11 05:00:00,7.0951843,1016.93884,9.735956,-0.21133058
246,8.24,2020-09-11 06:00:00,6.872467,1017.2314,6.4318023,-2.8566573
247,7.49,2020-09-11 07:00:00,7.037079,1016.90393,9.006889,-2.9835155
248,8.19,2020-09-11 08:00:00,6.5917664,1016.6169,4.4182177,-4.464968
249,8.05,2020-09-11 09:00:00,7.1484985,1016.0588,8.5666485,-7.7405157
250,7.27,2020-09-11 10:00:00,7.1429443,1016.22546,6.256183,-6.41132
251,8.07,2020-09-11 11:00:00,7.2963257,1016.0726,7.55097,-5.060831
252,9.11,2020-09-11 12:00:00,7.2056274,1016.2818,9.470386,-0.8300617
253,9.34,2020-09-11 13:00:00,8.209808,1015.5976,5.6520314,-4.385284
254,9.88,2020-09-11 14:00:00,8.360443,1015.33453,7.1446557,-5.1807556
255,10.0,2020-09-11 15:00:00,8.669617,1014.95447,7.8332515,-7.14283
256,9.53,2020-09-11 16:00:00,9.447327,1014.64954,7.423156,-2.8179162
257,9.98,2020-09-11 17:00:00,9.014496,1014.2082,7.3997865,-8.324123
258,10.12,2020-09-11 18:00:00,9.074158,1013909,7.1141157,-9.261352
259,10.15,2020-09-11 19:00:00,9.228729,1013.1492,8.368527,-8.940598
260,9.85,2020-09-11 20:00:00,9.127197,1012.46936,9.218764,-9.713464
261,10.03,2020-09-11 21:00:00,9.062195,1011.8081,8.873502,-10.615951
262,9.31,2020-09-11 22:00:00,9.1267395,1011.6755,9.157643,-10.896791
263,9.98,2020-09-11 23:00:00,9.105774,1011.2759,9.578336,-10.614477
264,10.03,2020-09-12 00:00:00,9.013184,1010.8747,9.637254,-10.504369
265,9.58,2020-09-12 01:00:00,9.502319,1009.2991,10.899258,-8.349731
