Time,T2,T2_WRF,PP,PP_WRF,P_WRF,U10_WRF,V10_WRF
2018-08-08 15:00:00,9.31,8.264252,0,0.00064086914,1019.71716,-3.0261996,-8.261175
2018-08-08 16:00:00,9.93,8.472412,0,0,1019.08276,-3.3360891,-7.945943
2018-08-08 17:00:00,10.22,8.521576,0,0,1018.5148,-3.3753512,-7.640908
2018-08-08 18:00:00,11,8.824158,0,0,1017.80084,-3.6290166,-7.118087
2018-08-08 19:00:00,9.98,8.739532,0,0,1016.5043,-3.6790547,-6.5866303
2018-08-08 20:00:00,10,8.637787,0,0,1015.2151,-3.37027,-6.6211185
2018-08-08 21:00:00,9.61,8.174713,0,0,1014.59344,-2.642087,-6.4006453
2018-08-08 22:00:00,9.01,7.96875,0,0,1014.00635,-2.0413184,-5.7953424
2018-08-08 23:00:00,9.01,8.076477,0,0,1013.5118,-1.4610142,-5.673936
2018-08-09 00:00:00,9.09,8.099579,0,0,1013.2195,-1.3690212,-5.378313
2018-08-09 01:00:00,9.24,8.049072,0,0,1014.155,-1.6617229,-4.765721
2018-08-09 02:00:00,9.36,8.061462,0,0,1013.51385,-1.8699025,-4.692236
2018-08-09 03:00:00,9.31,8.198639,0,0,1013.0171,-2.629126,-5.3326144
2018-08-09 04:00:00,9.21,8.279999,0,0,1012.8204,-0.22166225,-5.512574
2018-08-09 05:00:00,9.34,8.139191,0,0,1012.7608,-0.9502926,-4.769553
2018-08-09 06:00:00,9.36,8.003937,0,0,1012.35126,-1.2583275,-4.589782
2018-08-09 07:00:00,9.24,8.017242,0,0,1011.81696,-1.4412888,-4.8534575
2018-08-09 08:00:00,8.94,7.982239,0,0,1011.5772,-1.4345132,-4.636324
2018-08-09 09:00:00,9.21,7.9298706,0,0,1011.51483,-1.0740049,-4.6063066
2018-08-09 10:00:00,9.51,7.9674683,0,0,1011.509,-1.1631572,-4.703559
2018-08-09 11:00:00,9.61,8.130096,0,0,1011.51337,-1.0056165,-5.2150707
2018-08-09 12:00:00,9.53,8.110596,0,0.003250122,1011.4573,-1.1218919,-4.9587984
