Time,T2,T2_WRF,PP_WRF,P_WRF,U10_WRF,V10_WRF
2018-08-10 23:00:00,7.647,7.370056,0,1016.5535,-1.1550055,-0.13322112
2018-08-11 00:00:00,7.124,6.7029724,0,1016.3521,-1.6144842,0.81141937
2018-08-11 01:00:00,7.613,6.496277,0,1016.608,-1.2991776,1.2186753
2018-08-11 02:00:00,7.187,6.158386,0,1014.97943,-1.9446759,0.85559684
2018-08-11 03:00:00,7.659,6.373749,0,1014.4723,-1.8912864,-0.17508318
2018-08-11 04:00:00,7.67,6.598877,0,1014.6351,0.018185744,-1.229808
2018-08-11 05:00:00,8.381,6.3793945,0,1013.94415,-0.6963125,-1.4363139
2018-08-11 06:00:00,8.375,6.6360474,0,1013.82935,-0.8508675,-0.734635
2018-08-11 07:00:00,8.381,6.87854,0,1012.9239,0.4362845,-0.1298947
2018-08-11 08:00:00,7.875,5.514099,0,1012.7084,1.7730025,0.10024271
2018-08-11 09:00:00,7.983,5.6280518,0,1012.5006,0.40045777,-0.44650665
2018-08-11 10:00:00,8.375,5.9800415,0,1012.35205,-0.48785427,-1.3510458
2018-08-11 11:00:00,8.495,8.295654,0,1012.23975,-1.1510656,-6.838161
2018-08-11 12:00:00,8.808,8.439911,0,1012.3604,-0.57508576,-7.272573
2018-08-11 13:00:00,8.682,8.299683,0,1012.7282,0.14377263,-7.307216
2018-08-11 14:00:00,9.302,8.814178,0,1013.04376,0.16713908,-7.537854
2018-08-11 15:00:00,10.497,9.113373,0,1013.11755,-0.16297224,-7.830052
2018-08-11 16:00:00,10.002,9.372467,0,1013.077,-1.1303035,-8.690842
2018-08-11 17:00:00,9.592,9.484619,0,1013.2138,-0.9341721,-9.187211
2018-08-11 18:00:00,9.888,8.967102,0.44945526,1013.5959,-0.17106597,-8.231248
2018-08-11 19:00:00,9.462,8.917847,1.4424362,1013.6359,-2.1640985,-6.903747
2018-08-11 20:00:00,9.376,9.030975,0.8223953,1013.7185,-2.0583103,-7.441301
2018-08-11 21:00:00,9.683,9.097137,3.3211136,1013.5989,-2.2488387,-4.9978566
2018-08-11 22:00:00,9.769,9.453613,2.1740723,1013.6049,0.011291624,-6.38504
2018-08-11 23:00:00,9.746,9.665466,0.7308502,1013.7894,0.6982753,-8.611738
2018-08-12 00:00:00,9.376,9.355103,0.3695755,1014.1245,-0.8734981,-9.8844595
2018-08-12 01:00:00,9.172,9.363312,0.16680145,1014.5628,-0.88072556,-8.30115
2018-08-12 02:00:00,8.978,9.393555,0.21357727,1014.61096,-1.0269812,-8.15081
2018-08-12 03:00:00,9.598,9.470886,0.20053864,1014.7735,-1.3740165,-7.533265
2018-08-12 04:00:00,9.473,9.372742,0.2631073,1014.7861,-1.0867339,-7.885169
2018-08-12 05:00:00,9.604,9.095886,0.20796204,1014.8674,-0.69468,-8.491845
2018-08-12 06:00:00,9.774,9.191406,0.11211395,1014.7121,-0.21050552,-8.2218075
2018-08-12 07:00:00,9.763,9.248779,0.10152435,1014.5105,-0.65054286,-8.107091
2018-08-12 08:00:00,9.462,9.231689,0.11706543,1014.4645,-0.7484743,-8.793182
2018-08-12 09:00:00,9.371,9.248108,0.0019226074,1014.62134,-0.82060224,-9.250709
2018-08-12 10:00:00,9.45,9.170288,0.0018157959,1014.7111,-0.6920691,-9.45326
2018-08-12 11:00:00,9.268,8.962036,0.016059875,1014.766,-0.6284998,-8.79852
2018-08-12 12:00:00,9.467,8.956848,0.016143799,1014.7754,-1.1406177,-8.298771
2018-08-12 13:00:00,9.996,8.870575,0.0030670166,1014.77594,-0.9888047,-8.107502
2018-08-12 14:00:00,10.087,8.699188,0.0007324219,1014.63904,-0.5400875,-8.334748
2018-08-12 15:00:00,10.491,8.794678,0.0006866455,1014.562,-1.1200292,-8.276725
2018-08-12 16:00:00,11.509,9.207184,0.0006866455,1014.33044,-1.2811056,-8.407375
2018-08-12 17:00:00,11.287,9.946228,0.03137207,1014.0552,-1.6399599,-8.263054
2018-08-12 18:00:00,11.901,10.563293,0.05831909,1013.79626,-2.3820329,-8.339755
2018-08-12 19:00:00,12.112,10.543549,0.051750183,1013.4403,-2.890321,-8.334638
2018-08-12 20:00:00,11.503,10.600983,0.2425003,1013.36584,-3.0113893,-7.319427
2018-08-12 21:00:00,10.497,10.3185425,0.024154663,1013.27936,-1.9017979,-5.8556476
2018-08-12 22:00:00,9.791,9.866028,0.3913269,1013.2642,1.5598824,-5.2230105
2018-08-12 23:00:00,9.786,9.708496,0.058311462,1013.22266,1.6312143,-6.564298
2018-08-13 00:00:00,9.598,9.3437805,0.28939056,1013.2121,-0.5474815,-5.252469
2018-08-13 01:00:00,9.979,9.262817,0.61898804,1013.23083,-2.8808994,-6.2061405
2018-08-13 02:00:00,10.087,9.46991,0.37678528,1012.1516,-2.643589,-7.5679693
2018-08-13 03:00:00,10.474,9.177124,0.037490845,1012.0293,-3.7202919,-8.891025
2018-08-13 04:00:00,10.383,9.225159,0.03160858,1011.8974,-3.2825677,-9.846567
